,announce_ts,prefix,m17d-bgp,m17c-bgp,m169-bgp,m17d-openflow,m17c-openflow,m169-openflow
0,1569138777.779,198.238.144.0/24,1569181923.61833,1569181922.893352,1569181917.877291,1569181923.622631,1569181922.899987,1569181917.884953
1,1569138806.897,144.26.237.0/24,1569181923.61833,1569181922.893352,1569181918.194628,1569181923.647268,1569181922.905737,1569181918.20112
2,1569138904.799,208.9.35.0/24,1569181923.61833,1569181922.893352,1569181917.981968,1569181923.62512,1569181922.905737,1569181917.987294
3,1569139043.531,140.60.20.0/24,1569181923.61833,1569181922.893352,1569181918.507746,1569181923.660569,1569181922.907484,1569181918.516855
4,1569138993.797,91.74.79.0/24,1569181923.61833,1569181922.893352,1569181918.614132,1569181923.667129,1569181922.918197,1569181918.62009
5,1569138954.82,248.47.139.0/24,1569181923.61833,1569181922.893352,1569181918.300965,1569181923.654684,1569181922.905737,1569181918.306905
6,1569138930.43,188.7.123.0/24,1569181923.61833,1569181922.893352,1569181919.133804,1569181923.677577,1569181922.918197,1569181919.140259
7,1569139094.726,110.186.220.0/24,1569181923.621313,1569181922.898919,1569181919.345247,1569181923.68953,1569181922.91825,1569181919.35138
8,1569138873.091,43.118.182.0/24,1569181923.61833,1569181922.893352,1569181918.08846,1569181923.637169,1569181922.905737,1569181918.09379
9,1569138812.649,50.142.77.0/24,1569181923.621313,1569181922.898919,1569181919.556354,1569181923.696328,1569181922.918282,1569181919.564102
10,1569138735.345,129.164.99.0/24,1569181923.61833,1569181922.893352,1569181918.720428,1569181923.672248,1569181922.918197,1569181918.727834
11,1569139111.721,222.99.206.0/24,1569181923.621313,1569181922.898919,1569181920.709112,1569181923.723971,1569181922.922425,1569181920.714822
12,1569138793.631,63.239.132.0/24,1569181923.621313,1569181922.898919,1569181920.389507,1569181923.71422,1569181922.922425,1569181920.395769
13,1569139189.08,104.30.232.0/24,1569181923.621313,1569181922.898919,1569181920.921388,1569181923.73201,1569181922.922425,1569181920.924341
14,1569139143.659,11.166.29.0/24,1569181923.621313,1569181922.898919,1569181921.027707,1569181923.744025,1569181922.931536,1569181921.031469
15,1569139124.218,163.217.160.0/24,1569181923.621313,1569181922.898919,1569181921.552141,1569181923.755992,1569181922.931536,1569181921.559847
16,1569138857.378,173.149.101.0/24,1569181923.61833,1569181922.893352,1569181919.240663,1569181923.682424,1569181922.91825,1569181919.248904
17,1569139079.501,126.201.171.0/24,1569181923.621313,1569181922.898919,1569181921.76453,1569181923.762847,1569181922.931597,1569181921.771477
18,1569138725.818,118.139.31.0/24,1569181923.621313,1569181922.898919,1569181921.971322,1569181923.771414,1569181922.931597,1569181921.978105
19,1569139099.407,241.162.243.0/24,1569181923.621313,1569181922.898919,1569181922.378702,1569181923.77853,1569181922.931697,1569181922.383445
20,1569139040.515,248.120.128.0/24,1569181923.621313,1569181922.898919,1569181919.662419,1569181923.700867,1569181922.918282,1569181919.668101
21,1569138862.912,101.89.70.0/24,1569181928.617386,1569181927.891432,1569181922.794874,1569181928.621871,1569181927.898255,1569181922.800668
22,1569139018.035,143.243.111.0/24,1569181928.617386,1569181927.891432,1569181923.098152,1569181928.640934,1569181927.899985,1569181923.106454
23,1569138800.423,201.171.245.0/24,1569181928.617386,1569181927.891432,1569181923.306163,1569181928.640934,1569181927.910828,1569181923.310424
24,1569138827.631,88.31.28.0/24,1569181923.621313,1569181922.898919,1569181920.177156,1569181923.706926,1569181922.918282,1569181920.180751
25,1569138971.699,85.237.162.0/24,1569181928.617386,1569181927.891432,1569181924.03404,1569181928.649062,1569181927.9213,1569181924.03754
26,1569138894.971,126.167.65.0/24,1569181928.617573,1569181927.891636,1569181924.667415,1569181928.66181,1569181927.921349,1569181924.675548
27,1569138868.716,107.206.245.0/24,1569181928.617573,1569181927.891636,1569181925.086896,1569181928.694602,1569181927.925622,1569181925.094506
28,1569138901.597,5.212.116.0/24,1569181928.617573,1569181927.891636,1569181925.192873,1569181928.700032,1569181927.93745,1569181925.200055
29,1569138780.908,97.234.163.0/24,1569181928.617386,1569181927.891432,1569181923.713696,1569181928.640971,1569181927.913974,1569181923.721432
30,1569139167.388,147.162.154.0/24,1569181928.617573,1569181927.891636,1569181925.504734,1569181928.712962,1569181927.937511,1569181925.513839
31,1569139082.81,109.208.113.0/24,1569181928.617386,1569181927.891432,1569181924.348738,1569181928.649062,1569181927.9213,1569181924.355157
32,1569139223.167,197.35.0.0/24,1569181928.617573,1569181927.891636,1569181926.246749,1569181928.735995,1569181927.937535,1569181926.250372
33,1569138726.555,9.106.52.0/24,1569181928.617573,1569181927.891636,1569181926.579489,1569181928.746249,1569181927.937535,1569181926.586807
34,1569139203.797,165.229.229.0/24,1569181928.617573,1569181927.891636,1569181926.682747,1569181928.755109,1569181927.937535,1569181926.690248
35,1569138921.242,65.76.72.0/24,1569181928.617573,1569181927.891636,1569181926.893938,1569181928.760658,1569181927.937535,1569181926.901193
36,1569139038.648,201.48.17.0/24,1569181928.617573,1569181927.891636,1569181925.610227,1569181928.724253,1569181927.937511,1569181925.618062
37,1569138783.513,156.30.47.0/24,1569181928.617573,1569181927.891636,1569181924.560157,1569181928.678605,1569181927.925622,1569181924.567424
38,1569138864.376,27.31.26.0/24,1569181928.617573,1569181927.891636,1569181927.41337,1569181928.781926,1569181927.940454,1569181927.4216
39,1569138881.315,227.52.3.0/24,,,1569181927.837303,,,1569181927.842885
40,1569138821.798,210.51.64.0/24,1569181933.618042,1569181932.891867,1569181928.14361,1569181933.644855,1569181932.914674,1569181928.14866
41,1569138963.159,52.144.33.0/24,1569181928.617573,1569181927.891636,1569181927.206439,1569181928.767162,1569181927.937535,1569181927.212647
42,1569138915.423,97.234.231.0/24,1569181933.618042,1569181932.891867,1569181928.657999,1569181933.644923,1569181932.921462,1569181928.665429
43,1569139155.688,220.42.131.0/24,1569181933.618042,1569181932.891867,1569181927.624388,1569181933.644855,1569181932.901755,1569181927.630458
44,1569139001.681,214.132.33.0/24,1569181923.621313,1569181922.898919,1569181922.484687,1569181923.78517,1569181922.931697,1569181922.48938
45,1569139164.978,91.197.46.0/24,1569181933.618042,1569181932.891867,1569181928.977088,1569181933.656253,1569181932.928873,1569181928.98519
46,1569138925.729,0.12.82.0/24,1569181933.618042,1569181932.891867,1569181928.870518,1569181933.649911,1569181932.928873,1569181928.878279
47,1569138943.094,170.57.206.0/24,1569181933.618042,1569181932.891867,1569181929.487448,1569181933.69247,1569181932.928873,1569181929.495537
48,1569138974.5,181.169.182.0/24,1569181933.618042,1569181932.891867,1569181928.551618,1569181933.644923,1569181932.917332,1569181928.558116
49,1569139031.001,146.215.187.0/24,1569181933.618042,1569181932.891867,1569181928.76435,1569181933.644994,1569181932.921462,1569181928.772523
50,1569138936.984,65.112.18.0/24,1569181933.618224,1569181932.892153,1569181930.524416,1569181933.720373,1569181932.938557,1569181930.530495
51,1569139125.462,246.38.25.0/24,1569181933.618224,1569181932.892153,1569181930.630895,1569181933.728838,1569181932.938557,1569181930.638186
52,1569139068.067,84.40.38.0/24,1569181933.618224,1569181932.892153,1569181930.837722,1569181933.728854,1569181932.938557,1569181930.845704
53,1569138909.384,66.190.60.0/24,1569181933.618224,1569181932.892153,1569181931.044792,1569181933.728912,1569181932.938611,1569181931.050947
54,1569139108.295,114.194.196.0/24,1569181928.617386,1569181927.891432,1569181923.927302,1569181928.640987,1569181927.915689,1569181923.932542
