Connecting to host 1.0.0.1, port 5201
[  4] local 10.0.10.1 port 54941 connected to 1.0.0.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  82.5 MBytes   692 Mbits/sec  10554  
[  4]   1.00-2.00   sec  93.0 MBytes   780 Mbits/sec  11898  
[  4]   2.00-3.00   sec  91.5 MBytes   767 Mbits/sec  11706  
[  4]   3.00-4.00   sec  91.9 MBytes   771 Mbits/sec  11758  
[  4]   4.00-5.00   sec  92.6 MBytes   776 Mbits/sec  11848  
[  4]   5.00-6.00   sec  92.9 MBytes   779 Mbits/sec  11885  
[  4]   6.00-7.00   sec  92.4 MBytes   775 Mbits/sec  11831  
[  4]   7.00-8.00   sec  92.5 MBytes   776 Mbits/sec  11835  
[  4]   8.00-9.00   sec  90.8 MBytes   762 Mbits/sec  11626  
[  4]   9.00-10.00  sec  90.8 MBytes   762 Mbits/sec  11623  
[  4]  10.00-11.00  sec  90.8 MBytes   761 Mbits/sec  11620  
[  4]  11.00-12.00  sec  91.9 MBytes   771 Mbits/sec  11758  
[  4]  12.00-13.00  sec  91.3 MBytes   766 Mbits/sec  11688  
[  4]  13.00-14.00  sec  91.5 MBytes   768 Mbits/sec  11713  
[  4]  14.00-15.00  sec  92.0 MBytes   772 Mbits/sec  11776  
[  4]  15.00-16.00  sec  91.3 MBytes   765 Mbits/sec  11681  
[  4]  16.00-17.00  sec  91.2 MBytes   766 Mbits/sec  11680  
[  4]  17.00-18.00  sec  92.6 MBytes   777 Mbits/sec  11858  
[  4]  18.00-19.00  sec  91.3 MBytes   766 Mbits/sec  11688  
[  4]  19.00-20.00  sec  91.3 MBytes   765 Mbits/sec  11681  
[  4]  20.00-21.00  sec  90.7 MBytes   761 Mbits/sec  11607  
[  4]  21.00-22.00  sec  91.8 MBytes   770 Mbits/sec  11744  
[  4]  22.00-23.00  sec  93.4 MBytes   784 Mbits/sec  11957  
[  4]  23.00-24.00  sec  90.9 MBytes   763 Mbits/sec  11640  
[  4]  24.00-25.00  sec  92.4 MBytes   775 Mbits/sec  11829  
[  4]  25.00-26.00  sec  91.9 MBytes   771 Mbits/sec  11762  
[  4]  26.00-27.00  sec  92.0 MBytes   772 Mbits/sec  11779  
[  4]  27.00-28.00  sec  91.6 MBytes   768 Mbits/sec  11719  
[  4]  28.00-29.00  sec  90.7 MBytes   761 Mbits/sec  11608  
[  4]  29.00-30.00  sec  90.2 MBytes   757 Mbits/sec  11544  
[  4]  30.00-31.00  sec  92.7 MBytes   777 Mbits/sec  11864  
[  4]  31.00-32.00  sec  92.3 MBytes   774 Mbits/sec  11816  
[  4]  32.00-33.00  sec  91.1 MBytes   764 Mbits/sec  11664  
[  4]  33.00-34.00  sec  92.0 MBytes   772 Mbits/sec  11776  
[  4]  34.00-35.00  sec  90.3 MBytes   758 Mbits/sec  11561  
