Connecting to host 1.0.0.1, port 5201
[  4] local 10.0.10.1 port 57495 connected to 1.0.0.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec   109 MBytes   911 Mbits/sec  13895  
[  4]   1.00-2.00   sec   120 MBytes  1.01 Gbits/sec  15378  
[  4]   2.00-3.00   sec   119 MBytes   999 Mbits/sec  15242  
[  4]   3.00-4.00   sec   119 MBytes   994 Mbits/sec  15175  
[  4]   4.00-5.00   sec   120 MBytes  1.00 Gbits/sec  15300  
[  4]   5.00-6.00   sec   120 MBytes  1.00 Gbits/sec  15312  
[  4]   6.00-7.00   sec   118 MBytes   992 Mbits/sec  15142  
[  4]   7.00-8.00   sec   120 MBytes  1.01 Gbits/sec  15365  
[  4]   8.00-9.00   sec   119 MBytes  1.00 Gbits/sec  15276  
[  4]   9.00-10.00  sec   119 MBytes   994 Mbits/sec  15169  
[  4]  10.00-11.00  sec   119 MBytes   999 Mbits/sec  15238  
[  4]  11.00-12.00  sec   120 MBytes  1.01 Gbits/sec  15353  
[  4]  12.00-13.00  sec   118 MBytes   993 Mbits/sec  15160  
[  4]  13.00-14.00  sec   120 MBytes  1.01 Gbits/sec  15361  
[  4]  14.00-15.00  sec   119 MBytes  1000 Mbits/sec  15255  
[  4]  15.00-16.00  sec   119 MBytes   997 Mbits/sec  15209  
[  4]  16.00-17.00  sec   120 MBytes  1.01 Gbits/sec  15336  
[  4]  17.00-18.00  sec   119 MBytes   996 Mbits/sec  15202  
[  4]  18.00-19.00  sec   120 MBytes  1.00 Gbits/sec  15306  
[  4]  19.00-20.00  sec   119 MBytes   995 Mbits/sec  15179  
[  4]  20.00-21.00  sec   119 MBytes   998 Mbits/sec  15229  
[  4]  21.00-22.00  sec   120 MBytes  1.00 Gbits/sec  15309  
[  4]  22.00-23.00  sec   119 MBytes  1.00 Gbits/sec  15277  
[  4]  23.00-24.00  sec   119 MBytes   999 Mbits/sec  15247  
[  4]  24.00-25.00  sec   120 MBytes  1.00 Gbits/sec  15300  
[  4]  25.00-26.00  sec   119 MBytes  1.00 Gbits/sec  15263  
[  4]  26.00-27.00  sec   118 MBytes   994 Mbits/sec  15167  
[  4]  27.00-28.00  sec   120 MBytes  1.01 Gbits/sec  15350  
[  4]  28.00-29.00  sec   119 MBytes   996 Mbits/sec  15197  
[  4]  29.00-30.00  sec   120 MBytes  1.01 Gbits/sec  15388  
[  4]  30.00-31.00  sec   119 MBytes   996 Mbits/sec  15198  
[  4]  31.00-32.00  sec   119 MBytes  1.00 Gbits/sec  15263  
[  4]  32.00-33.00  sec   119 MBytes  1000 Mbits/sec  15252  
[  4]  33.00-34.00  sec   118 MBytes   993 Mbits/sec  15149  
[  4]  34.00-35.00  sec   120 MBytes  1.01 Gbits/sec  15365  
[  4]  35.00-36.00  sec   118 MBytes   993 Mbits/sec  15152  
[  4]  36.00-37.00  sec   120 MBytes  1.01 Gbits/sec  15360  
[  4]  37.00-38.00  sec   118 MBytes   993 Mbits/sec  15147  
[  4]  38.00-39.00  sec   120 MBytes  1.01 Gbits/sec  15374  
[  4]  39.00-40.00  sec   119 MBytes   997 Mbits/sec  15210  
[  4]  40.00-41.00  sec   119 MBytes   997 Mbits/sec  15211  
[  4]  41.00-42.00  sec   119 MBytes  1.00 Gbits/sec  15260  
[  4]  42.00-43.00  sec   119 MBytes  1.00 Gbits/sec  15264  
[  4]  43.00-44.00  sec   120 MBytes  1.01 Gbits/sec  15360  
[  4]  44.00-45.00  sec   118 MBytes   992 Mbits/sec  15134  
[  4]  45.00-46.00  sec   119 MBytes  1.00 Gbits/sec  15272  
[  4]  46.00-47.00  sec   120 MBytes  1.01 Gbits/sec  15351  
[  4]  47.00-48.00  sec   119 MBytes   994 Mbits/sec  15169  
[  4]  48.00-49.00  sec   120 MBytes  1.01 Gbits/sec  15402  
[  4]  49.00-50.00  sec   118 MBytes   992 Mbits/sec  15139  
[  4]  50.00-51.00  sec   120 MBytes  1.01 Gbits/sec  15337  
[  4]  51.00-52.00  sec   118 MBytes   993 Mbits/sec  15152  
[  4]  52.00-53.00  sec   119 MBytes  1.00 Gbits/sec  15261  
[  4]  53.00-54.00  sec   119 MBytes  1.00 Gbits/sec  15279  
[  4]  54.00-55.00  sec   120 MBytes  1.01 Gbits/sec  15353  
[  4]  55.00-56.00  sec   118 MBytes   994 Mbits/sec  15163  
[  4]  56.00-57.00  sec   120 MBytes  1.01 Gbits/sec  15354  
[  4]  57.00-58.00  sec   119 MBytes  1000 Mbits/sec  15252  
[  4]  58.00-59.00  sec   119 MBytes  1.00 Gbits/sec  15293  
[  4]  59.00-60.00  sec   118 MBytes   993 Mbits/sec  15149  
[  4]  60.00-61.00  sec   120 MBytes  1.00 Gbits/sec  15306  
[  4]  61.00-62.00  sec   119 MBytes  1.00 Gbits/sec  15277  
[  4]  62.00-63.00  sec   118 MBytes   994 Mbits/sec  15161  
[  4]  63.00-64.00  sec   119 MBytes  1000 Mbits/sec  15258  
[  4]  64.00-65.00  sec   119 MBytes  1.00 Gbits/sec  15261  
[  4]  65.00-66.00  sec   119 MBytes  1.00 Gbits/sec  15263  
[  4]  66.00-67.00  sec   119 MBytes  1.00 Gbits/sec  15259  
[  4]  67.00-68.00  sec   119 MBytes  1000 Mbits/sec  15258  
[  4]  68.00-69.00  sec   120 MBytes  1.01 Gbits/sec  15342  
[  4]  69.00-70.00  sec   120 MBytes  1.00 Gbits/sec  15304  
[  4]  70.00-71.00  sec   118 MBytes   992 Mbits/sec  15132  
[  4]  71.00-72.00  sec   119 MBytes  1000 Mbits/sec  15252  
[  4]  72.00-73.00  sec   119 MBytes  1000 Mbits/sec  15257  
[  4]  73.00-74.00  sec   120 MBytes  1.01 Gbits/sec  15355  
[  4]  74.00-75.00  sec   119 MBytes   999 Mbits/sec  15240  
[  4]  75.00-76.00  sec   119 MBytes   999 Mbits/sec  15242  
[  4]  76.00-77.00  sec   119 MBytes  1.00 Gbits/sec  15271  
[  4]  77.00-78.00  sec   119 MBytes  1.00 Gbits/sec  15295  
[  4]  78.00-79.00  sec   119 MBytes   996 Mbits/sec  15200  
