2019-10-01 19:36:06,888 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:36:21,907 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:36:36,930 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:36:51,952 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:37:06,973 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:37:21,996 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:37:37,018 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:37:52,040 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:38:07,059 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:38:22,081 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:38:37,096 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:38:52,117 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:39:07,138 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:39:22,158 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:39:37,180 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:39:52,200 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:40:07,225 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:40:22,245 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:40:37,264 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:40:52,276 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:41:07,296 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:41:22,316 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:41:37,334 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:41:52,353 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:42:07,372 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:42:22,392 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:42:37,411 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:42:52,430 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:43:07,448 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:43:22,473 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:43:37,498 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:43:52,512 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:44:07,528 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:44:22,547 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:44:37,569 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:44:52,590 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:45:07,611 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:45:22,631 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:45:37,640 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:45:52,660 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:46:07,680 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:46:22,702 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:46:37,736 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:46:52,760 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:47:07,778 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:47:22,800 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:47:37,818 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:47:52,841 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:48:07,861 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:48:22,880 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:48:37,900 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:48:52,921 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:49:07,934 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
