2019-09-23 18:20:43,544 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:20:48,552 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:20:53,559 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:20:58,569 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:21:03,578 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:21:08,584 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:21:13,593 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:21:18,603 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:21:23,613 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:21:28,623 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:21:33,632 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:21:38,641 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:21:43,653 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:21:48,663 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:21:53,670 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:21:58,680 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:22:03,689 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:22:08,694 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:22:13,703 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:22:18,712 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:22:23,721 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:22:28,730 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:22:33,736 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:22:38,745 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:22:43,753 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:22:48,763 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:22:53,772 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:22:58,788 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:23:03,803 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:23:08,813 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:23:13,822 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:23:18,838 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:23:23,849 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:23:28,858 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:23:33,868 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:23:38,881 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:23:43,892 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:23:48,901 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:23:53,916 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:23:58,925 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:24:03,933 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:24:08,941 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:24:13,955 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:24:18,972 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:24:23,984 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:24:28,992 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:24:34,005 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:24:39,021 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:24:44,033 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:24:49,042 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:24:54,053 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:24:59,065 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:25:04,078 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:25:09,089 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:25:14,107 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:25:19,120 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
