2019-09-24 17:42:49,448 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:42:54,460 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:42:59,472 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:43:04,482 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:43:09,495 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:43:14,505 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:43:19,517 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:43:24,528 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:43:29,537 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:43:34,547 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:43:39,558 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:43:44,566 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:43:49,579 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:43:54,590 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:43:59,598 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:44:04,606 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:44:09,617 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
