2019-09-24 18:30:22,480 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:30:27,492 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:30:32,500 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:30:37,509 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:30:42,520 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:30:47,528 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:30:52,539 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:30:57,550 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:31:02,561 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:31:07,570 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:31:12,582 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:31:17,593 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:31:22,602 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:31:27,614 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:31:32,626 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:31:37,638 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:31:42,647 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:31:47,656 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:31:52,665 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:31:57,673 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:32:02,687 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:32:07,695 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:32:12,708 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:32:17,718 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:32:22,733 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:32:27,747 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:32:32,762 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:32:37,775 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:32:42,788 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:32:47,797 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:32:52,811 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:32:57,822 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:33:02,831 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:33:07,848 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:33:12,861 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:33:17,870 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:33:22,884 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:33:27,897 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:33:32,909 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:33:37,918 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:33:42,931 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:33:47,943 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
