2019-09-30 17:15:00,336 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:15:05,346 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:15:10,354 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:15:15,366 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:15:20,378 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:15:25,387 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:15:30,396 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:15:35,404 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:15:40,416 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:15:45,428 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:15:50,434 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:15:55,449 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:16:00,465 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:16:05,475 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
