2019-10-01 05:41:59,242 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:42:04,252 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:42:09,262 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:42:14,271 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:42:19,280 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:42:24,291 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:42:29,299 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:42:34,312 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:42:39,321 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:42:44,331 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:42:49,339 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:42:54,350 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:42:59,359 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:43:04,373 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:43:09,383 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:43:14,392 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:43:19,400 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:43:24,412 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:43:29,420 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:43:34,436 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:43:39,447 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:43:44,461 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:43:49,473 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:43:54,486 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:43:59,498 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:44:04,506 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:44:09,520 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:44:14,530 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:44:19,540 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:44:24,548 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:44:29,560 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:44:34,568 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:44:39,581 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:44:44,595 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:44:49,608 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:44:54,620 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:44:59,628 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:45:04,642 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:45:09,654 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:45:14,666 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:45:19,680 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:45:24,691 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:45:29,725 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:45:34,732 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:45:39,741 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:45:44,748 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:45:49,756 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:45:54,764 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:45:59,777 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:46:04,788 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:46:09,801 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:46:14,817 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:46:19,830 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:46:24,844 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:46:29,859 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:46:34,874 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:46:39,886 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:46:44,895 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:46:49,904 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-01 05:46:54,913 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'origin': 2, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-01 05:46:59,923 bgpreplay INFO {'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'origin': 2, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
