2019-10-01 07:42:27,081 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:42:32,090 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:42:37,099 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:42:42,105 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:42:47,114 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:42:52,124 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:42:57,134 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:43:02,148 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:43:07,155 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:43:12,163 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:43:17,172 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:43:22,185 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:43:27,198 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:43:32,212 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:43:37,224 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:43:42,234 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:43:47,242 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:43:52,257 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:43:57,268 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:44:02,283 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:44:07,292 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:44:12,300 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:44:17,308 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:44:22,318 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:44:27,324 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
