2019-10-01 09:22:32,040 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:22:42,054 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:22:52,068 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:23:02,083 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:23:12,102 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:23:22,117 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:23:32,132 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:23:42,150 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:23:52,169 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:24:02,184 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:24:12,197 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:24:22,212 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:24:32,227 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
