2019-10-13 14:35:03,446 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:35:18,471 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:35:33,494 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:35:48,513 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:36:03,533 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:36:18,553 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:36:33,571 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:36:48,589 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:37:03,610 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:37:18,629 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:37:33,648 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:37:48,668 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:38:03,688 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:38:18,708 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:38:33,727 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:38:48,746 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:39:03,772 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:39:18,798 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:39:33,821 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:39:48,842 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:40:03,860 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:40:18,883 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:40:33,902 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:40:48,924 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:41:03,934 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:41:18,957 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:41:33,981 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:41:49,003 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:42:04,025 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:42:19,045 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:42:34,069 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:42:49,089 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:43:04,110 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:43:19,133 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:43:34,153 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:43:49,175 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:44:04,188 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:44:19,204 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:44:34,222 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:44:49,240 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:45:04,258 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:45:19,276 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:45:34,296 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:45:49,315 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:46:04,333 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:46:19,357 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:46:34,375 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:46:49,394 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:47:04,416 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:47:19,435 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:47:34,458 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
