2019-10-13 22:41:55,899 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:42:10,919 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:42:25,934 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:42:40,957 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:42:55,971 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:43:10,991 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:43:26,011 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:43:41,032 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:43:56,050 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:44:11,069 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:44:26,089 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:44:41,107 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:44:56,127 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:45:11,145 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 22:45:26,164 bgpreplay INFO {'attr': {'local_pref': 100, 'as_path': [5], 'origin': 2, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 22:45:41,182 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'origin': 2, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
