2019-10-14 18:44:04,226 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:44:19,245 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:44:34,249 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:44:49,273 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:45:04,291 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:45:19,311 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:45:34,330 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:45:49,352 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:46:04,370 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:46:19,389 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-14 18:46:34,403 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'local_pref': 100, 'origin': 2}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-14 18:46:49,421 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'local_pref': None, 'origin': 2}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
