2019-10-15 21:22:30,896 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:22:45,919 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:23:00,939 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:23:15,961 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:23:30,985 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:23:46,005 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:24:01,023 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:24:16,043 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:24:31,063 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:24:46,081 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:25:01,094 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:25:16,110 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:25:31,128 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:25:46,149 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:26:01,169 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:26:16,187 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:26:31,207 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:26:46,225 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
