,diff,prefix
0,0.012603998184204102,212.227.137.0/24
1,0.010132074356079102,8.126.36.0/24
2,0.009900808334350586,236.199.137.0/24
3,0.010429143905639648,17.185.35.0/24
4,0.010191917419433594,35.239.220.0/24
5,0.008999824523925781,179.39.185.0/24
6,0.010476112365722656,191.115.207.0/24
7,0.010462045669555664,132.136.1.0/24
8,0.010843038558959961,29.71.61.0/24
9,0.009773969650268555,1.36.104.0/24
10,0.008220911026000977,111.183.251.0/24
11,0.011808156967163086,73.27.251.0/24
12,0.006443977355957031,227.1.98.0/24
13,0.007016897201538086,37.81.173.0/24
14,0.009690046310424805,207.204.250.0/24
15,0.007625102996826172,183.60.6.0/24
16,0.009387969970703125,100.244.23.0/24
17,0.009456157684326172,156.172.215.0/24
18,0.008035898208618164,59.53.188.0/24
19,0.00946807861328125,119.71.82.0/24
20,0.00813603401184082,164.195.56.0/24
21,0.010084867477416992,211.233.72.0/24
22,0.0076639652252197266,205.88.66.0/24
23,0.008437156677246094,152.112.94.0/24
24,0.009190082550048828,148.218.126.0/24
25,0.011096954345703125,187.117.209.0/24
26,0.010542154312133789,113.120.109.0/24
27,0.012391090393066406,179.16.0.0/24
28,0.010128021240234375,212.206.126.0/24
29,0.008507966995239258,185.61.15.0/24
30,0.011708974838256836,150.92.95.0/24
31,0.004503965377807617,15.117.190.0/24
32,0.007281064987182617,201.85.241.0/24
33,0.007256984710693359,91.170.195.0/24
34,0.009016036987304688,247.158.196.0/24
35,0.0057299137115478516,184.126.213.0/24
36,0.008749961853027344,71.152.41.0/24
37,0.01100611686706543,208.16.131.0/24
38,0.00609588623046875,126.22.26.0/24
39,0.010239839553833008,135.73.200.0/24
40,0.01002192497253418,179.235.179.0/24
41,0.012160062789916992,58.8.61.0/24
42,0.009422063827514648,180.159.119.0/24
43,0.009374141693115234,248.47.49.0/24
44,0.00916600227355957,92.173.248.0/24
45,0.011162996292114258,229.172.28.0/24
46,0.009402990341186523,101.43.203.0/24
47,0.012773990631103516,169.178.209.0/24
48,0.008586883544921875,64.161.87.0/24
49,0.005232095718383789,108.242.94.0/24
50,0.011001110076904297,155.246.98.0/24
51,0.01205897331237793,93.199.59.0/24
52,0.009289979934692383,239.143.253.0/24
53,0.012257099151611328,230.245.154.0/24
54,0.008173942565917969,239.119.201.0/24
55,0.01102900505065918,170.42.185.0/24
56,0.009868860244750977,157.246.97.0/24
57,0.01173710823059082,18.96.221.0/24
58,0.010190963745117188,14.230.148.0/24
59,0.011494874954223633,85.92.117.0/24
60,0.009264945983886719,118.96.200.0/24
61,0.009341001510620117,190.254.14.0/24
62,0.00833582878112793,199.80.166.0/24
63,0.013277053833007812,101.140.70.0/24
64,0.008494138717651367,119.35.116.0/24
65,0.012722969055175781,193.73.187.0/24
66,0.009796857833862305,50.60.122.0/24
67,0.01276707649230957,62.117.229.0/24
68,0.004720926284790039,175.226.172.0/24
69,0.007525205612182617,14.147.131.0/24
70,0.009987831115722656,100.135.37.0/24
71,0.011132001876831055,82.108.118.0/24
72,0.010393857955932617,134.183.253.0/24
73,0.009644031524658203,183.130.65.0/24
74,0.009692907333374023,70.93.123.0/24
75,0.011049032211303711,27.126.100.0/24
76,0.008671998977661133,190.135.104.0/24
77,0.00770115852355957,55.124.34.0/24
78,0.00874018669128418,199.47.170.0/24
79,0.009741783142089844,56.93.25.0/24
80,0.009032011032104492,16.239.51.0/24
81,0.013853073120117188,180.41.216.0/24
82,0.0055468082427978516,124.190.8.0/24
83,0.00652313232421875,71.157.160.0/24
84,0.009296894073486328,207.115.196.0/24
85,0.012154102325439453,151.53.89.0/24
86,0.009938955307006836,236.117.103.0/24
87,0.00521087646484375,215.37.208.0/24
88,0.009865999221801758,121.34.95.0/24
89,0.011578083038330078,21.151.121.0/24
90,0.010576009750366211,243.144.27.0/24
91,0.012006998062133789,74.64.41.0/24
92,0.00988912582397461,123.68.31.0/24
93,0.01006007194519043,162.185.100.0/24
94,0.009809017181396484,157.214.207.0/24
95,0.011955976486206055,217.40.146.0/24
96,0.010377883911132812,225.138.176.0/24
97,0.01105189323425293,146.151.211.0/24
