,announce_ts,prefix,m167-bgp,m17d-bgp,m17c-bgp,m169-bgp,m17d-openflow,m17c-openflow,m169-openflow
0,1568653971.483,23.89.249.0/24,1568697171.704078,,,1568697175.867704,1568697175.872926,1568697175.216756,1568697171.49289
1,1568653971.687,120.79.70.0/24,1568697171.752309,,,1568697171.741093,1568697175.885084,1568697175.22365,1568697171.696961
2,1568653971.893,207.192.250.0/24,1568697172.113412,,,1568697172.114356,,,1568697171.902365
3,1568653972.098,55.91.91.0/24,1568697172.128008,,,1568697172.12825,1568697175.885107,,1568697172.113048
4,1568653972.304,140.100.228.0/24,1568697172.525297,,,1568697172.526232,,1568697175.223674,1568697172.316755
5,1568653972.51,66.83.21.0/24,1568697172.539509,,,1568697172.539795,,,1568697172.525274
6,1568653972.716,246.220.129.0/24,1568697172.934679,,,1568697172.935427,1568697175.888341,1568697175.234297,1568697172.729364
7,1568653972.922,58.206.68.0/24,1568697172.950436,,,1568697172.950718,1568697175.894442,,1568697172.933739
8,1568653973.128,135.63.241.0/24,1568697173.351907,,,1568697173.352709,1568697175.894461,,1568697173.142618
9,1568653973.336,13.27.172.0/24,1568697173.367027,,,1568697173.367398,1568697175.90449,,1568697173.351393
10,1568653973.544,29.196.85.0/24,1568697173.773635,,,1568697175.871969,1568697175.940545,1568697175.234319,1568697173.561616
11,1568653973.755,236.73.237.0/24,,,,,,,1568697173.773283
12,1568653973.966,115.15.250.0/24,1568697174.187951,,,1568697174.187729,1568697175.955908,1568697175.234337,1568697173.980789
13,1568653974.174,166.233.13.0/24,1568697174.201882,,,1568697174.202348,1568697175.963861,,1568697174.185334
14,1568653974.377,137.12.146.0/24,1568697174.605898,,,1568697174.605437,1568697175.96389,,1568697174.388559
15,1568653974.582,141.166.100.0/24,1568697174.62293,,,1568697174.623438,1568697175.96852,1568697175.235941,1568697174.594105
16,1568653974.787,197.84.34.0/24,1568697175.010015,,,1568697175.009461,1568697175.972782,1568697180.217558,1568697174.797389
17,1568653974.993,37.136.178.0/24,1568697175.025897,,,1568697175.026001,1568697175.977331,1568697180.219998,1568697175.007513
18,1568653975.2,12.88.255.0/24,1568697175.42844,,,1568697175.428502,1568697175.983956,1568697180.22677,1568697175.216918
19,1568653975.409,173.58.133.0/24,1568697175.443788,,,1568697175.443821,1568697176.013984,1568697180.229245,1568697175.427464
