,diff,prefix
0,-4.374814033508301,23.89.249.0/24
1,-0.04413199424743652,120.79.70.0/24
2,-0.2119910717010498,207.192.250.0/24
3,-0.015201807022094727,55.91.91.0/24
4,-0.20947694778442383,140.100.228.0/24
5,-0.014520883560180664,66.83.21.0/24
6,-0.20606303215026855,246.220.129.0/24
7,-0.016978979110717773,58.206.68.0/24
8,-0.21009111404418945,135.63.241.0/24
9,-0.01600503921508789,13.27.172.0/24
10,-2.3103530406951904,29.196.85.0/24
11,,236.73.237.0/24
12,-0.2069399356842041,115.15.250.0/24
13,-0.017014026641845703,166.233.13.0/24
14,-0.21687793731689453,137.12.146.0/24
15,-0.029332876205444336,141.166.100.0/24
16,-0.21207189559936523,197.84.34.0/24
17,-0.018487930297851562,37.136.178.0/24
18,-0.21158409118652344,12.88.255.0/24
19,-0.016356945037841797,173.58.133.0/24
